pm25,pm10,o3,no2,so2
14.4,9.08,5.59,6.71,22.62
11.68,6.87,10.48,6.65,22.22
10.71,8.07,21.53,6.95,11.08
10.23,9.31,8.17,6.98,8.92
10.07,9.06,10.78,6.87,15.81
8.53,9.18,2.99,6.89,17.24
7.75,8.5,0.96,6.75,17.02
7.5,7.55,10.07,6.74,17.03
6.54,8.77,18.98,7.09,8.64
5.12,9.99,11.38,7.15,6.72
4.57,10.76,11.67,6.93,12.97
4.31,12.21,5.62,7.2,16.21
5.29,15.47,2.97,7.24,15.21
5.38,20.2,11.72,7.15,16.58
5.58,19.17,28.81,7.26,9.77
6.15,15.92,13.49,7.18,8.95
6.68,18.04,12.31,6.93,14.82
7.46,17.74,4.75,6.78,20.31
7.1,17.67,16.39,6.72,26.86
5.97,17.63,27.3,6.48,28.66
5.65,12.92,16.8,6.81,15.28
5.7,12.34,23.96,6.9,9.92
6.9,13.74,15.09,6.95,13.95
8.22,17.23,2.46,6.97,18.03
8.58,20.18,2.99,6.98,19.2
8.21,18.81,11.99,6.97,19.2
8.34,25.35,14.1,7.23,8.35
7.72,29.13,7.14,7.27,5.42
11.88,31.41,8.73,6.84,13.73
13.32,36.13,2.82,7.05,16.62
10.52,34.73,2.88,6.99,15.25
8.97,29.72,11.57,6.94,14.02
7.21,25.38,19.35,7.21,6.24
6.27,23.02,6.2,7.14,5.44
6.06,25.02,11.13,6.96,11.15
6.59,27.38,3.75,7.17,16.79
6.71,27.29,1.8,7.15,15.17
6.1,29.33,13.61,7.05,14.07
4.96,26.41,22.81,7.25,7.24
4.32,32.24,9.84,7.17,5.48
9.65,38.2,13.41,6.89,12.7
11.37,39.18,10.51,6.75,21.5
8.6,41.34,10.5,6.68,27.31
7.48,38.85,19.61,6.51,28.08
7.94,38.18,16.26,6.79,14.49
